0	0	1354838400000	0.1	0.1	0	3
0	1	1284508800000	2.3	2	1	4
0	2	1443571200000	4.5	3	2	5
0	3	1299974400000	2.3	4	3	5
0	4	1344124800000	6.7	5	4	4
0	5	1315526400000	8.9	6.7	5	5
1	1	1332806400000	1.2	1	1	1
1	2	1363219200000	3.4	2	2	1
1	3	1326585600000	5.6	3	3	3
1	4	1326240000000	7.8	4	4	5
1	5	1348099200000	9.10	5.6	5	5
1	6	1347408000000	11.12	7	6	5
1	7	1325894400000	13.14	8.9	6	5
1	9	1326585600000	7.17	12	4	5
1	10	1326326400000	18.19	13	8	5
1	12	1326672000000	21.22	15.16.17	4	5
1	13	1411689600000	23.24	18	9	5
1	14	1382400000000	25.26	19	10	3
1	15	1344816000000	27.28	20	11	5
1	16	1344124800000	23.29	18	9	5
1	17	1326240000000	30.14	21	6	5
1	18	1382659200000	31.11	22	9	2
1	19	1326585600000	32.6	23	12	1
1	20	1384732800000	33.34	24	8	3
1	21	1329955200000	35.7	25	4	5
1	22	1351382400000	6.36	26	13	3
1	25	1349481600000	7.39	29	9	5
1	26	1332115200000	40.41	30	14	5
1	27	1374019200000	42.4	31	6	1
1	28	1386806400000	43.44	32	4	3
1	29	1326326400000	1.45	33	2	1
1	30	1349913600000	6.46	34	15	2
1	32	1325894400000	7.49	36	15	4
1	33	1326240000000	1.50	37	16	5
1	35	1326326400000	52.6	39	6	5
1	37	1381276800000	6.55	41	18	1
1	38	1384992000000	56.57	42	4	5
1	39	1358899200000	58.47	43	19	5
1	41	1326585600000	61.62	45	20	5
1	42	1351468800000	6.1	46	21	5
1	43	1384732800000	63.64	47.48	22	5
1	46	1493164800000	68.20	53	1	1
1	47	1326931200000	27.69	54	1	5
1	48	1326240000000	7.70	55	4	5
1	38	1384992000000	56.57	42	4	5
1	39	1358899200000	58.47	43	19	5
1	40	1399593600000	59.60	44	1	5
1	41	1326585600000	61.62	45	20	5
1	43	1384732800000	63.64	47.48	22	5
1	44	1326585600000	65.66	49	2	5
1	46	1493164800000	68.20	53	1	1
1	47	1326931200000	27.69	54	1	5
1	48	1326240000000	7.70	55	4	5
1	49	1361491200000	71.72	56	24	5
1	50	1354665600000	6.47	57	6	5
1	51	1381276800000	6.73	19	25	5
1	52	1326240000000	74.6	27	7	1
1	53	1367625600000	47.6	58	6	5
1	54	1382832000000	75.6	19	25	1
1	56	1382832000000	77.6	19	25	1
1	57	1384732800000	1.57	47	22	5
1	58	1375315200000	78.1	60	12	2
1	59	1349568000000	7.63	61	22	3
1	62	1461715200000	82.9	63	6	5
1	63	1351728000000	83.84	64	28	5
1	64	1347408000000	9.85	65	23	5
1	65	1326412800000	7.86	66	22	5
1	66	1326585600000	40.87	67	29	1
1	67	1326931200000	20.7	48	22	5
1	69	1327795200000	57.7	69	4	5
1	70	1453507200000	40.7	70	4	5
1	71	1355184000000	88.1	71	30	5
1	73	1328313600000	90.91	74	31	5
1	75	1377993600000	94.95	76.77.78	33	2
1	77	1377129600000	20.7	80.81	35	5
1	79	1326585600000	40.99	82	36	1
1	80	1450310400000	100.101	83	37	3
1	81	1326585600000	4.102	84	38	1
1	82	1326585600000	4.103	85	39	5
1	83	1326326400000	89.7	86	40	5
1	84	1360368000000	104.105	87	41	3
1	85	1331596800000	4.106	88	42	1
1	86	1330128000000	107.108	89	43	5
1	88	1356134400000	110.111	92	6	1
1	89	1326499200000	104.112	93	44	1
1	90	1342915200000	6.88	94	9	5
1	92	1358812800000	6.88	94	9	5
1	93	1381881600000	114.115	96	5	5
1	94	1326672000000	116.117	97	45	1
